point_res_7,count
608798056422309887,20
608802455223795711,6
609312833351450623,1
608799902167728127,23
609312821104082943,2
608802045104750591,1
608802660325261311,1
609312888900812799,1
608819025341841407,25
608819023311798271,2
608818989388267519,9
608798172503867391,13
608797005195509759,3
608797005732380671,25
608801840657596415,7
608818987408556031,115
608797100758532095,144
608807093536817151,1
608802703929245695,22
608798194079367167,2
608801807472263167,8
608802082215952383,16
608819002994589695,5
608795770560184319,10
608803251738902527,2
608803311163801599,2
608802210075115519,14
609312330185965567,4
609312018398183423,260
608798191478898687,1
608818984724201471,10
608796050035048447,10
609312100690427903,9
608845295442198527,7
609312410431389695,23
608798181798445055,8
608801790846042111,2
608803311415459839,24
608801858038792191,41
608811996762079231,10
608803331749445631,1
608845290794909695,23
608802992782573567,9
608796522011688959,1
608801907783237631,1
608801809099653119,3
608796182826713087,4
608802806404481023,1
608802212205821951,2
608796017269145599,16
608801861645893631,2
608796165781061631,11
608803200148963327,10
608803300040507391,4
608803207715487743,2
608802622308089855,15
609312138590158847,2
608818909730045951,15
608801801717678079,5
608801809149984767,8
608798051120709631,6
608803165621452799,3
608844285873225727,66
608796132092411903,5
608802441600696319,5
608801788883107839,6
608802248545271807,1
608797050611433471,6
608797051618066431,3
608810910588338175,6
608802682437631999,13
608818977241563135,10
608801887247925247,1
608807126302719999,9
608802452723990527,6
608798053972836351,4
608802629253857279,11
608801797691146239,4
608802031229992959,3
609312122198818815,3
608802939061927935,9
608802031716532223,2
608801811146473471,3
608802046581145599,7
608797035696488447,3
608818849550172159,1
608799902352277503,11
608802702217969663,9
608818849466286079,1
609312077823082495,6
608802590968250367,15
608798147421929471,3
608802805683060735,5
608798172537421823,2
608796130632794111,2
608802394238615551,8
608801946706378751,11
608818925332856831,12
608802378233151487,15
608796911964520447,12
608796058390102015,3
608803264959348735,17
608795268200005631,4
608795268166451199,6
608802369139900415,10
609312121628393471,7
608802578888654847,9
608819082837360639,8
609312259805544447,50
608807117880557567,7
608798145274445823,16
608802662237863935,5
608798156095750143,7
608802784090783743,4
608801890871803903,2
608802944480968703,2
608802991406841855,4
608802091544084479,13
608802048661520383,10
608795768580472831,31
608803167685050367,3
608844285520904191,11
608801873389944831,6
608802591773556735,2
608802620647145471,2
608802695288979455,14
608795931386576895,1
608798016576421887,8
608795930514161663,1
608795932258992127,2
609313436257484799,4
608801888942424063,4
608802789224611839,7
608801836228411391,2
608801929778167807,9
608797278529912831,2
608803316666728447,3
608845318108217343,5
608797255092142079,4
609311967663882239,3
608803356227403775,3
608797080357437439,2
608818847100698623,2
608798176127746047,2
608802443177754623,8
608798181731336191,16
608802664771223551,1
608796203898896383,12
608801965178093567,1
609312265224585215,11
608845318510870527,4
608845438316969983,7
608819059735134207,11
609312119682236415,14
609312305221468159,10
608803336480620543,4
608845305693077503,1
608845315138650111,5
608803330323382271,1
608796981808070655,12
608798030937718783,35
609312284619046911,2
608796195912941567,5
608818988884951039,7
608802788821958655,4
608802012926050303,7
609290389077098495,7
608803207497383935,3
608818985210740735,2
608801925114101759,1
608798188458999807,2
608802629555847167,4
609313434613317631,4
608819041515077631,4
608819002306723839,1
608802998671376383,6
608819060372668415,2
608818984673869823,4
608796180830224383,4
608802621838327807,2
608801805123452927,9
608796196013604863,7
608798182167543807,17
608801900854247423,3
609313429949251583,17
608801807153496063,3
608802226181242879,1
608803284907458559,3
609312410364280831,5
608802926344798207,1
608803202850095103,4
608803188723679231,1
608802735235530751,3
609312290977611775,5
609312292286234623,25
608811962251345919,2
608818990495563775,42
608802444570263551,10
608806852397891583,2
608845302236971007,8
608796170159915007,8
609312410783711231,1
608797064687517695,1
609313434630094847,2
608798038521020415,3
608818972040626175,22
608796178649186303,2
608797023885328383,3
608803005868802047,8
608811997349281791,27
608796183111925759,2
608845314819883007,3
608845304401231871,1
608796042451746815,1
609312377850036223,1
608802661549998079,5
608801926456279039,7
608797275879112703,7
609312267925716991,1
608796067181363199,5
609312291732586495,1
608798088701673471,73
608802931998719999,2
609312251450490879,5
609312414139154431,1
608802667875008511,13
608803351328456703,3
609311997510549503,3
608796195292184575,3
609312121175408639,7
608802238344724479,2
608802704466116607,4
609313405269966847,9
608801901525336063,6
609312312989319167,6
608803200702611455,1
608803237075615743,3
608845287087144959,4
609313404984754175,1
608797088863485951,4
608797089366802431,6
608797252307124223,3
609313410840002559,9
608802351792259071,5
608797284569710591,2
609312292890214399,7
609312033883553791,6
608819070724210687,1
608798146499182591,10
608802048997064703,1
608819203801087999,6
609312036064591871,2
608797094886506495,1
608802641232789503,2
608802150566330367,1
609312018414960639,3
608799903426019327,6
609312889722896383,1
609312858215284735,6
608802016667369471,3
609312246668984319,2
608802633062285311,9
608845289385623551,5
608797231604039679,2
608811048044068863,4
608795273535160319,3
608795915683102719,1
608803316851277823,2
608845313393819647,6
608802600917139455,2
608803355069775871,6
608802751660425215,2
608802720555466751,6
608802785953054719,4
608802790415794175,1
608801885670866943,3
608802790231244799,1
608802626754052095,2
608798155139448831,5
608798178224898047,3
609312384879689727,2
608797102637580287,20
608802030005256191,1
609312834391638015,5
609312356559749119,9
608802701999865855,1
608798191847997439,29
608802624992444415,5
608801966218280959,1
609312271247605759,4
608802658647539711,1
608802695272202239,1
608811048027291647,9
608796922014072831,1
608797095406600191,4
608802240139886591,8
608818910401134591,1
608801809368088575,5
608802934582411263,56
608796026781827071,3
608802749496164351,1
608819080002011135,2
609312019052494847,1
609312019438370815,1
608797089199030271,2
609312892960899071,3
608803172030349311,1
608802932770471935,7
608802992363143167,5
608802785147748351,4
608811036585230335,5
608802412257345535,1
609313435603173375,2
609312259436445695,3
608802017791442943,12
609313436693692415,1
608803175452901375,1
608802640091938815,11
609313432465833983,12
608801899293966335,5
608802717753671679,5
608801905484759039,2
608819020644220927,3
608802936042029055,2
609312823788437503,4
608795772959326207,1
608803338275782655,2
608802409807871999,1
609313164198150143,2
608802432993984511,2
608801899226857471,1
608803310173945855,4
609312903614431231,2
608802407559725055,4
609312860262105087,3
608796122479067135,3
609312825566822399,2
608796939831476223,2
609312832697139199,1
608803261184475135,2
608844348368355327,2
608811053161119743,2
608801841395793919,1
609313448504852479,1
608796141168885759,1
608844215610245119,3
608795778747465727,5
608801856897941503,4
608796033392050175,1
609312414273372159,4
608802452791099391,3
609313434193887231,22
608802942467702783,3
608797274838925311,1
608802410160193535,1
608802411955355647,2
608802441869131775,4
608798015116804095,2
608801959339622399,2
608802395245248511,3
608798040534286335,3
608802350835957759,1
608803357838016511,4
609312077906968575,2
608796954746421247,1
608810917131452415,1
608797281566588927,3
608796516542316543,11
608844329292660735,6
609312134077087743,5
609312133976424447,13
608795766617538559,4
608802644537901055,29
608806839093559295,1
608801833728606207,2
